Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 42.86      0.06     0.06   286905     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >::raw_hash_set(phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> > const&, std::allocator<int> const&)
 28.57      0.10     0.04    27587     0.00     0.00  void std::vector<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> >, std::allocator<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > > >::_M_realloc_insert<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > const&>(__gnu_cxx::__normal_iterator<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> >*, std::vector<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> >, std::allocator<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > > > >, std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > const&)
  7.14      0.11     0.01   806509     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos(int const&)
  7.14      0.12     0.01    28004     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<unsigned long>, phmap::Hash<unsigned long>, phmap::EqualTo<unsigned long>, std::allocator<unsigned long> >::prepare_insert(unsigned long)
  7.14      0.13     0.01    27587     0.00     0.00  Task::get_successor_states(phmap::flat_hash_set<int, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >&, std::vector<std::pair<int, std::pair<unsigned long, phmap::flat_hash_set<int, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> > > >, std::allocator<std::pair<int, std::pair<unsigned long, phmap::flat_hash_set<int, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> > > > > >&, unsigned long)
  7.14      0.14     0.01       16     0.62     0.62  void std::vector<SearchNode, std::allocator<SearchNode> >::_M_realloc_insert<SearchNode>(__gnu_cxx::__normal_iterator<SearchNode*, std::vector<SearchNode, std::allocator<SearchNode> > >, SearchNode&&)
  0.00      0.14     0.00   910904     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<int>, int const&)
  0.00      0.14     0.00   695355     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >::destroy_slots()
  0.00      0.14     0.00   286913     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >::initialize_slots(unsigned long)
  0.00      0.14     0.00   286913     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >::resize(unsigned long)
