Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 44.83      0.13     0.13   288021     0.00     0.00  _get_grounded_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >)
 13.79      0.17     0.04        1    40.00   259.49  breadth_first_search(BaseTask&)
 10.34      0.20     0.03    27587     0.00     0.01  Task::get_successor_states(std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >&, unsigned long)
 10.34      0.23     0.03                             _init
  6.90      0.25     0.02   695352     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::~_Hashtable()
  6.90      0.27     0.02       16     1.25     1.37  void std::vector<SearchNode, std::allocator<SearchNode> >::_M_realloc_insert<SearchNode>(__gnu_cxx::__normal_iterator<SearchNode*, std::vector<SearchNode, std::allocator<SearchNode> > >, SearchNode&&)
  3.45      0.28     0.01   910904     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<int>, int const&)
  3.45      0.29     0.01   840804     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos(int const&)
  0.00      0.29     0.00   304163     0.00     0.00  void std::vector<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> >, std::allocator<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > > >::_M_realloc_insert<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > const&>(__gnu_cxx::__normal_iterator<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> >*, std::vector<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> >, std::allocator<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > > > >, std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > const&)
  0.00      0.29     0.00   249091     0.00     0.00  frame_dummy
  0.00      0.29     0.00   166621     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<int, false>*, unsigned long)
